ddat-profession-capability-framework-skill-level	ddat-profession-capability-framework-skill	ddat-profession-capability-framework-level	description	start-date	end-date
10430	1120	101	Proficient, fast and fluid in the use of software. Knows shortcuts and tricks as well as what not to do. Is responsible for choosing the technology and outputs, for example, paper size, weight.		
10431	1088	103	Has the ability to write HTML and can add new tags.		
10432	1026	101	Able to listen to the needs of technical and business stakeholders and interpret them. Able to manage stakeholders’ expectations and be flexible, is capable of proactive and reactive communication. Facilitates difficult discussions within the team or with diverse senior stakeholders.		
10433	1064	101	Able to make decisions characterised by medium levels of risk and complexity and recommend decisions as risk and complexity increase. Able to build consensus between services or independent stakeholders. Able to identify problems or issues in the team dynamic and rectify them. Engages in varying types of feedback choosing the right type at the appropriate time and ensuring the discussion and decision sticks. Able to bring people together to form a motivated team and helps create the right environment for a team to work in. Able to facilitate the best team makeup depending on the situation.		
10434	1120	102	Able to create tools for other designers to use and can teach others. Works with tools that have an impact on other designers.		
10435	1050	101	Can absorb large amounts of conflicting information and use it to produce simple designs.		
10436	1064	103	Contributes to best practice guidelines. Understands the sustainability and consequences of their decisions and is able to make decisions characterised by managed levels of risk and complexity. Capable of resolving technical disputes between wider peers and indirect stakeholders, taking into account all views and opinions.		
10437	1026	103	Able to effectively translate and accurately communicate across technical and non-technical stakeholders as well as facilitate discussions within a multidisciplinary team, with potentially difficult dynamics. Able to advocate for the team externally and can manage differing perspectives.		
10438	1050	103	Able to generate multiple solutions to a problem and tests them.		
10439	1064	104	Conforms to agreed good practice for the team, teaching new starters and challenging substandard work by peers. Able to recommend decisions and describe the reasoning behind these. Capable of identifying and articulating technical disputes between direct peers and local stakeholders. Has an awareness of the importance of team dynamics, collaboration and understands the importance of feedback.		
10440	1127	104	Understands the value of policy, legislative, regulatory and operational constraints and finds the simplest, shortest and fastest solution for users.		
10441	1136	103	Identifies and engages with users and stakeholders to collate user needs evidence.  Understands and defines research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
10442	1002	104	Has an awareness of agile methodology and the ways you could apply the principles in practice. Able to take an open-minded approach and understands why iteration is important, and can do it quickly.		
10443	1026	104	Aware of the need to translate technical concepts into non-technical language and understands what communication is required to internal and external stakeholders.		
10444	1046	104	Demonstrates an awareness of design, technology and data principles and fits into the cultural dialogue and relevant priorities. Understands the internet and the range of available technology choices.		
10445	1050	104	Aware of the value of evidence-based design and knows that design is a process.		
10446	1088	104	Has an understanding of how the internet works, can use tools and change text. Can edit existing code and ‘re-use’ it.		
10447	1120	103	Able to use the most appropriate tools and software for a particular job.		
10448	1127	105	N/A		
10449	1026	102	Able to mediate and mend relationships, communicating with stakeholders at all levels. Able to manage stakeholders’ expectations and facilitate discussions across high risk and complexity or under constrained timescales. able to speak and represent the community to large audiences inside and outside of government.		
10450	1088	102	Can create and validate a dynamic prototype.		
10451	1134	104	Has some understanding of user-centred service design and delivery practices.		
10452	1101	105	N/A		
10453	1092	102	Can help an organisation adopt a wide range of user research methods. Can lead a community of practice to help an organisation continually assure, improve and innovate their user research.		
10454	1051	102	Makes and justifies decisions characterised by high levels of risk, impact and complexity. Builds consensus between organisations (private or public) or highly independent and diverse stakeholders. Trusted by senior risk owners as an expert in security. Able to apply risk methodologies at the most complex levels of risk and guide others in applying risk methodologies in proportion to the risk in question.		
10455	1026	101	Able to listen to the needs of technical and business stakeholders, and interpret between them. Able to manage stakeholders’ expectations and be flexible, is capable of proactive and reactive communication. Facilitates difficult discussions within the team or with diverse senior stakeholders.		
10456	1051	101	Works with higher impact or more complex risks. Builds consensus between services or independent stakeholders. Leads others to make good design decisions. Applies different risk methodologies in proportion to the risk in question.		
10457	1050	101	Able to generate multiple solutions to a problem and tests them.		
10458	1051	103	Able to generate multiple solutions to a problem and tests them.		
10459	1099	103	Understands what problem the team is trying to solve. Can align user research activities to inform decision making and action.		
10460	1051	104	Capable of identifying and articulating technical disputes between direct peers and local stakeholders. Works collaboratively whilst recommending decisions and their reasoning.		
10461	1002	104	Has an awareness of agile methodology and the ways you could apply the principles in practice. Able to take an open-minded approach, understands why iteration is important and can do it quickly.		
10462	1134	102	Understands and has extensive experience of a range of user-centred and agile approaches. Can help government organisations adopt user-centred practices and embed them into agile service design and delivery. Can advocate for user research across an organisation.		
10463	1004	102	Can help an organisation adopt a wide range of analysis and synthesis techniques. Can help an organisation to continually assure, improve and innovate their practices to generate clear and valuable findings.		
10464	1058	102	Can help organisations understand the diversity of users of government services. Can guide organisations to adopt inclusive practices and apply what they learn to design and deliver accessible services that work for all users.		
10465	1096	102	Can align user research activities to help the organisation understand changing user behaviour, and the challenges and opportunities for government policy and service proposition.		
10466	1099	102	Understands organisational strategy and objectives. Can align research activities across the organisation to create strategic insights. Can align wider research activities at departmental and cross-government level.		
10467	1115	101	Has knowledge of the technologies used to build and operate digital services. Can collaborate closely with colleagues in different digital disciplines.		
10468	1134	101	Understands and has experience of a range of user-centred practices. Can help inexperienced teams adopt user-centred practices and embed them into their agile workflow. Can advocate for user research and engage sceptical colleagues and stakeholders.		
10469	1058	101	Can help teams understand the diversity of users of government services. Knows how to include all kinds of users in appropriate research activities. Can advocate for inclusive practices and help teams design and deliver accessible services that work for all users.		
10470	1096	101	Can help teams understand the ways that digital technology is changing user behaviour, and the challenges and opportunities for design and delivery of government services.		
10471	1099	101	Understands organisational goals and challenges. Can align research activities across teams to inform policy and proposition.		
10472	1004	101	Understands and can help teams apply a range of methods to analyse research data and synthesise findings. Knows how to engage sceptical colleagues in analysis and synthesis. Can advise on choice and application of techniques, and can critique colleagues’ findings to assure best practice.		
10473	1092	101	Has experience of, and can help teams adopt, a wide range of user research methods. Can plan user research for services with challenging user needs and complex user journeys. Can advise colleagues on choice and application of research methods to assure best practice.		
10474	1096	103	Understands the social and technological context for government services. Can align user research activities to help their team understand changing user behaviour.		
10475	1134	103	Understands and has experience of a range of user-centred practices. Can work with colleagues to plan and do continuous user research in a multidisciplinary team.		
10476	1004	103	Understands how to apply basic techniques for analysis of research data and synthesis of findings. Knows how to involve their team in analysis and synthesis. Can present clear findings that colleagues can understand and use.		
10477	1058	103	Understands the diversity of users of government services and the need to make services usable and accessible for everyone. Can work with colleagues to include many kinds of users in appropriate research activities.		
10478	1092	103	Understands and has experience of basic user research methods. Understands when to use those methods and how to apply them correctly. Knows how to involve their team in research activities.		
10479	1058	104	Has some awareness of the diversity of users of government services and the need to make government services usable and accessible for everyone.		
10480	1096	104	Is aware of the social and technological context for government services. Knows the importance of understanding users’ life and work for designing and delivering effective services.		
10481	1099	104	Is aware of the need to align user research with team goals to support decision making and action.		
10482	1115	104	Has some knowledge of the technologies and roles within a digital team.		
10483	1004	104	Is aware of the need for careful analysis of data to produce clear findings.		
10484	1092	104	Has some understanding of basic user research methods.		
